model,trial,value,state,cv_std,fold_mae,duration_sec,params
XGBoost,10,0.005444245784561984,TrialState.COMPLETE,0.0015819893312365395,"[0.003747734107394318, 0.005029401681278719, 0.007555601565012914]",0.876594,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 2, ""min_child_weight"": 1.0830205124792256, ""subsample"": 0.5580828440266691, ""colsample_bytree"": 0.9826561474625768, ""gamma"": 1.2022592921973838, ""reg_alpha"": 1.5046834094720306e-05, ""reg_lambda"": 3.967330999569216}"
XGBoost,11,0.005443983125121573,TrialState.COMPLETE,0.0015824075264377917,"[0.0037465342968487623, 0.005029766140721649, 0.007555648937794309]",0.988643,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 6, ""min_child_weight"": 1.1772672827783375, ""subsample"": 0.5982006933861804, ""colsample_bytree"": 0.5566973074492495, ""gamma"": 3.9679006997887623, ""reg_alpha"": 0.00031417015894746213, ""reg_lambda"": 1.222921641385023}"
XGBoost,12,0.005450352251948302,TrialState.COMPLETE,0.0015753146146672838,"[0.003766503619755494, 0.005028981455779442, 0.00755557168030997]",1.294171,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 3, ""min_child_weight"": 2.7104140874228633, ""subsample"": 0.646467236019465, ""colsample_bytree"": 0.7274413878500978, ""gamma"": 3.1555628458690848, ""reg_alpha"": 0.09837944660532197, ""reg_lambda"": 2.043004503861992}"
XGBoost,13,0.005463849826515162,TrialState.COMPLETE,0.0015685297404414772,"[0.0037957058594497955, 0.005031667452175114, 0.007564176167920574]",0.588024,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 6, ""min_child_weight"": 2.6480442084448144, ""subsample"": 0.7042596797198424, ""colsample_bytree"": 0.7802789629233426, ""gamma"": 3.968172952263194, ""reg_alpha"": 4.943806208382291, ""reg_lambda"": 21.5227052276115}"
XGBoost,14,0.005443758080802375,TrialState.COMPLETE,0.0015825679866175375,"[0.003746082343336803, 0.00502958171120862, 0.007555610187861703]",1.200074,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 4, ""min_child_weight"": 5.515606213765154, ""subsample"": 0.6507881766571083, ""colsample_bytree"": 0.6359831787244055, ""gamma"": 3.0454369221648867, ""reg_alpha"": 4.918751487357874e-06, ""reg_lambda"": 0.44659110258804385}"
XGBoost,15,0.005443939219277245,TrialState.COMPLETE,0.0015824360741449428,"[0.0037464349682075925, 0.005029752161267103, 0.00755563052835704]",1.061668,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 3, ""min_child_weight"": 5.953663728767844, ""subsample"": 0.6848541018421384, ""colsample_bytree"": 0.7569128396125868, ""gamma"": 2.6584718840591375, ""reg_alpha"": 3.0731817949897693e-06, ""reg_lambda"": 0.022536017029510788}"
XGBoost,16,0.005443959970036171,TrialState.COMPLETE,0.001582388593044082,"[0.0037464936032455035, 0.005029805019309993, 0.007555581287553016]",1.125315,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 4, ""min_child_weight"": 5.927260199101363, ""subsample"": 0.7475666988721952, ""colsample_bytree"": 0.6787093629094966, ""gamma"": 2.6194564769213895, ""reg_alpha"": 4.658184921881929e-06, ""reg_lambda"": 0.21169147836053706}"
XGBoost,17,0.005551917931560169,TrialState.COMPLETE,0.001510746805056773,"[0.003963927353746858, 0.005108073042145737, 0.007583753398787912]",0.861814,"{""objective"": ""reg:pseudohubererror"", ""max_depth"": 3, ""min_child_weight"": 7.187641427278757, ""subsample"": 0.5606695182216249, ""colsample_bytree"": 0.8457153869474027, ""gamma"": 1.5550767791455449, ""reg_alpha"": 0.00012344487415049082, ""reg_lambda"": 0.657195137220231}"
XGBoost,18,0.0054437832494181465,TrialState.COMPLETE,0.0015825573046216448,"[0.003746129881872143, 0.005029593220569428, 0.007555626645812867]",1.190352,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 5, ""min_child_weight"": 4.872452003053828, ""subsample"": 0.6519402542564353, ""colsample_bytree"": 0.643018450173954, ""gamma"": 2.274801183498774, ""reg_alpha"": 1.4936840547464933e-06, ""reg_lambda"": 0.027056739834284593}"
XGBoost,19,0.005443870771660257,TrialState.COMPLETE,0.0015825597580071122,"[0.003746160202029037, 0.005029762399905687, 0.007555689713046048]",1.03133,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 5, ""min_child_weight"": 5.083450805376941, ""subsample"": 0.6691058701170438, ""colsample_bytree"": 0.6333017741988998, ""gamma"": 2.9845532392250704, ""reg_alpha"": 1.6517394567130584e-06, ""reg_lambda"": 0.3858415437822468}"
XGBoost,20,0.005554212406716181,TrialState.COMPLETE,0.0015096236020824255,"[0.003970985269263818, 0.005105467558140222, 0.007586184392744504]",1.081968,"{""objective"": ""reg:pseudohubererror"", ""max_depth"": 5, ""min_child_weight"": 7.361148523816274, ""subsample"": 0.7304348069435124, ""colsample_bytree"": 0.6482197172338315, ""gamma"": 3.44711940278191, ""reg_alpha"": 1.8124909930730158e-05, ""reg_lambda"": 0.0684087835468185}"
XGBoost,21,0.005443787475797077,TrialState.COMPLETE,0.0015826342450089316,"[0.0037459207740174433, 0.0050297745778491035, 0.007555667075524685]",1.053816,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 4, ""min_child_weight"": 3.614350074965164, ""subsample"": 0.6150311124536557, ""colsample_bytree"": 0.7286769412241316, ""gamma"": 2.2589216101245206, ""reg_alpha"": 0.00045962464468674556, ""reg_lambda"": 0.013431410938775428}"
XGBoost,22,0.005443988173005284,TrialState.COMPLETE,0.0015823885096608063,"[0.0037466008324808144, 0.005029714204952793, 0.007555649481582243]",1.017288,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 4, ""min_child_weight"": 5.109857036684198, ""subsample"": 0.5967409625847627, ""colsample_bytree"": 0.7319255020470975, ""gamma"": 2.3881787001577597, ""reg_alpha"": 1.3487061983534346e-06, ""reg_lambda"": 0.008564448800972478}"
XGBoost,23,0.005443815963788304,TrialState.COMPLETE,0.0015825121360306124,"[0.003746215144659924, 0.005029631581204446, 0.0075556011655005416]",1.061993,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 5, ""min_child_weight"": 3.58362484361702, ""subsample"": 0.6558014564698552, ""colsample_bytree"": 0.6050294710743924, ""gamma"": 1.5937975395792248, ""reg_alpha"": 1.2092330310235429e-05, ""reg_lambda"": 7.125221417350462}"
XGBoost,24,0.00544394328581421,TrialState.COMPLETE,0.0015824224478092753,"[0.0037464839673164683, 0.005029714077352047, 0.007555631812774114]",1.020307,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 4, ""min_child_weight"": 5.000808435125912, ""subsample"": 0.5996037990714408, ""colsample_bytree"": 0.8187558056574213, ""gamma"": 2.9109502146848425, ""reg_alpha"": 0.0009871206582178736, ""reg_lambda"": 0.048229485224024066}"
XGBoost,25,0.0054440298867005224,TrialState.COMPLETE,0.0015823809003306705,"[0.003746564737515024, 0.005029887558117015, 0.0075556373644695305]",1.067635,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 5, ""min_child_weight"": 6.419407870881849, ""subsample"": 0.7149095878881807, ""colsample_bytree"": 0.6572511719977411, ""gamma"": 2.189033038302468, ""reg_alpha"": 6.792471367388829e-07, ""reg_lambda"": 0.015611241929674747}"
XGBoost,26,0.005443913485222912,TrialState.COMPLETE,0.0015824184424113007,"[0.0037464695881387236, 0.005029668548801731, 0.007555602318728283]",1.078726,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 6, ""min_child_weight"": 1.7885295050610657, ""subsample"": 0.8064899532225541, ""colsample_bytree"": 0.7328065142080962, ""gamma"": 1.0792075381656523, ""reg_alpha"": 3.524719759176118e-05, ""reg_lambda"": 0.0013335265332779962}"
XGBoost,27,0.005444256049725757,TrialState.COMPLETE,0.001581977052896625,"[0.0037477192124364795, 0.005029472939877752, 0.007555575996863042]",1.31502,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 7, ""min_child_weight"": 8.471322709703674, ""subsample"": 0.5807703958839812, ""colsample_bytree"": 0.5504656044049935, ""gamma"": 3.5558228109286016, ""reg_alpha"": 0.018200821593409612, ""reg_lambda"": 0.37463734166848905}"
XGBoost,28,0.005443769271002149,TrialState.COMPLETE,0.0015825965504655648,"[0.0037459874060569893, 0.005029699271135269, 0.007555621135814189]",1.036436,"{""objective"": ""reg:absoluteerror"", ""max_depth"": 4, ""min_child_weight"": 4.691276157829395, ""subsample"": 0.6281049304858443, ""colsample_bytree"": 0.714658729871222, ""gamma"": 2.8249447588679883, ""reg_alpha"": 1.088963228765522e-07, ""reg_lambda"": 0.08786062233621147}"
XGBoost,29,0.005552372964344416,TrialState.COMPLETE,0.001509993876065879,"[0.003966931334136974, 0.005106181600745158, 0.007584005958151116]",1.006988,"{""objective"": ""reg:pseudohubererror"", ""max_depth"": 6, ""min_child_weight"": 6.789431959715449, ""subsample"": 0.6313149778057161, ""colsample_bytree"": 0.5828717052228495, ""gamma"": 3.5239706428220954, ""reg_alpha"": 6.208961362405138e-06, ""reg_lambda"": 0.08156018246333126}"
